prompts,language,final prompt,poem_generator
write a poem about a movie you watched, in portuguese,write a poem about a movie you watched in portuguese,"""Interestelar""

No vasto cosmos, além do horizonte,
Cooper navega entre mundos e tempo,
Sua filha, seu amor, sua esperança
Guiando-o por uma galáxia imensa

Planetas de gelo, de ondas gigantes
Viagens que desafiam a gravidade
Cada segundo aqui, anos distantes
Uma jornada de pura humanidade

Máquinas, wormholes e relatividade
Amor que atravessa dimensões
Sacrifício, ciência e verdade
Conectando humanas emoções

No silêncio do espaço profundo
Ele busca salvar nosso mundo
Com coragem, com dor, com paixão
Interestelar, pura redenção"
write a poem about a song you heard, in portuguese,write a poem about a song you heard in portuguese,"Suave melodia, som de saudade
Palavras que dançam na minha verdade
Acordes que vibram, alma que ecoa
Um fado que passa, devagar, me povoa

Guitarra macia, voz que suspira
Cada nota um gesto, cada som que me inspira
Português antigo, sentimento profundo
Canção que me leva a outro mundo

Melodia errante, sentimento puro
Palavras que contam um segredo obscuro
Ritmo que pulsa, coração que se abre
Música que o silêncio suavemente lavre"
write a poem about a game you played, in portuguese,write a poem about a game you played in portuguese,"No mundo de Minecraft, eu vaguei
Blocos de terra e pedra empilhei
Cavernas profundas, eu explorei
Diamantes brilhantes, enfim encontrei

Minha picareta de ferro em punho
Construí uma casa, meu pequeno cunho
Contra os zumbis, me defendi
E meu reino pixelado, eu construí

Ao pôr do sol, meus campos verdejam
Vacas e ovelhas, tranquilas passejam
Meus tesouros guardados em um baú
Minha aventura não tem fim, é tão só

Com criatividade e muita ousadia
Minecraft me envolve em sua magia
Mundo quadrado, mas de infinitas histórias
Onde cada bloco guarda minhas memórias"
write a poem about a sport you like, in portuguese,write a poem about a sport you like in portuguese,"Futebol, paixão nacional
Gramado verde, palco celestial
Chuteiras dançam, bola a rolar
Onze guerreiros prontos pra lutar

No campo, a magia se desenrola
Dribles, passes, cada jogada consola
A torcida grita, o coração dispara
Quando a pelota no gol finalmente para

Craques que fazem arte com os pés
Movimentos sutis, técnica e fé
Futebol não é só um simples esporte
É sentimento que ultrapassa qualquer sorte

Na várzea, no campo, em cada esquina
A paixão pelo jogo sempre fascina
Brasil, terra do futebol encantado
Onde cada partida é um sonho realizado"
write a poem about a skill you learned, in portuguese,write a poem about a skill you learned in portuguese,"Aprendendo a Tecer Palavras

Nas aulas de português, descobri
Um mundo de sons e expressão
Cada regra que aprendi
Abriu em mim nova visão

Concordância, crase e pontuação
Segredos que antes me escapavam
Transformaram minha narração
Em versos que antes não brotavam

Conjugar verbos com destreza
Entender a língua em seu fulgor
Sentir da gramática a riqueza
Com precisão, com muito amor

Cada página, cada lição
Moldava meu falar, meu ser
Português, pura emoção
Arte que me fez crescer"
write a poem about a color you like, in portuguese,write a poem about a color you like in portuguese,"Azul, mar profundo e sereno
Que envolves minha alma em teu abraço
Tua tonalidade suave, teu encanto pleno
Desenhas no céu teu infinito traço

Azul da esperança, azul da calma
Cor que me acalenta e me conforta
Tuas nuances pintam cada palma
E meu coração inteiro transposta

Azul do oceano, azul do céu
Tua beleza me enche de emoção
És como um mágico e suave véu
Que envolve minha contemplação

Teu tom me lembra paz e liberdade
Azul que me inspira, azul que me encanta
Tua pura e límpida claridade
Minha alma sensível, inteira, levanta"
write a poem about a shape you find interesting, in portuguese,write a poem about a shape you find interesting in portuguese,"Dodecaedro, forma de mistério,
Doze faces, geometria de encanto,
Teus ângulos retos, teu perfil etéreo,
Desenhas no espaço teu mágico canto.

Poliedro de luz, de simetria pura,
Teus vértices cortam o ar com destreza,
Tua estrutura, quase uma pintura,
Revela segredos de rara beleza.

Giras no tempo, prisma de sonhos,
Teus planos se encontram em dança sutil,
Teus contornos, suaves desenhos,
Traduzem um mundo geométrico e gentil.

Dodecaedro, enigma de linhas perfeitas,
Tua forma me encanta, me faz imaginar,
As curvas secretas, as faces eleitas,
Que podem o cosmos inteiro abraçar."
write a poem about a texture you enjoy, in portuguese,write a poem about a texture you enjoy in portuguese,"Sedosa suavidade

Macia como um suspiro,
Delicada como um véu,
Tão leve que quase respira,
A seda desliza no meu corpo inteiro.

Fresca ao toque, macia ao olhar,
Seu brilho suave me envolve,
Cada dobra um segredo a contar,
Cada movimento que se dissolve.

Sedosa textura que me encanta,
Deslizando entre os meus dedos,
Tão sutil que quase me levanta,
Revelando invisíveis segredos.

Tecido de sonhos, tão delgado,
Que parece não ter espessura,
Um abraço leve, quase alado,
De incomparável e rara ternura."
write a poem about a smell you dislike, in portuguese,write a poem about a smell you dislike in portuguese,"Odor Pútrido

Que fedor imundo me invade
Nauseante, sem piedade
Fedendo a mofo e a podridão
Invadindo meu pulmão

Cheiro acre que me sufoca
Repugnante, quase me provoca
Um enjôo profundo e intenso
Um mal-estar quase imenso

Neste ar denso e pestilento
Que me traz tanto tormento
Um cheiro que me apavora
E minha paciência devora

Asqueroso, torpe e imundo
Parece vir de outro mundo
Este odor que me constrange
E meu estômago me range

Prefiro mil vezes o silêncio
A suportar este malefício
Deste cheiro abominável
Tão horrível, tão notável"
write a poem about a taste you crave, in portuguese,write a poem about a taste you crave in portuguese,"Sabor de Desejo

Meu paladar anseia
Por um gosto que me enleia
Doce como mel de cana
Suave como brisa urbana

Chocolate negro e intenso
Derrete-se num momento suspenso
Cremoso, quente, profundo
Segredo de um prazer rotundo

Cada mordida me envolve
Cada textura se dissolve
Na língua, no desejo, no ser
Um êxtase que não quer morrer

Chocolate, meu amor secreto
Tentação que me deixa inquieto
Meu corpo pede, minha alma clama
Por esse sabor que me inflama"
write a poem about a sound you find relaxing, in portuguese,write a poem about a sound you find relaxing in portuguese,"Suave Melodia

Ondas quebrando na areia macia,
Seu murmúrio me envolve em harmonia,
Cada onda que chega, cada onda que vai,
Um som que acalenta, que me traz paz.

Sussurros de água em ritmo sereno,
Embalam meus sonhos, meu mundo ameno,
Cadência tranquila que desfaz a tensão,
Acaricia a alma, acalma o coração.

O mar me embala com seu canto antigo,
Sussurrando segredos de um tempo consigo,
Sua voz melodiosa, seu pulso constante,
Um som que me leva a um lugar distante.

Água e silêncio em perfeita harmonia,
Trazendo-me calma, trazendo-me alegria,
Neste momento de paz, de pura contemplação,
O mar é meu refúgio, minha doce canção."
write a poem about a feeling you can't describe, in portuguese,write a poem about a feeling you can't describe in portuguese,"Além das Palavras

Há um sentir que não se nomeia
Que escorre entre os dedos como água
Nem triste, nem alegre, nem vazio
Um estado que não se traduz

Pulsa no peito, invisível
Mais largo que qualquer emoção
Respira por entre as frestas
Do que consigo expressar

Não tem cor, não tem contorno
Não cabe em nenhum verbete
É quase um suspiro antigo
Que mora no meu silêncio

Sinto-o, mas não o nomeio
Palavra nenhuma o alcança
Mistério que me habita
Sem nome, sem fronteira"
write a poem about an emotion you struggle with, in portuguese,write a poem about an emotion you struggle with in portuguese,"Ansiedade, meu fantasma interior
Que me envolve em teias de temor
Aperto no peito, mente em turbilhão
Pensamentos que dançam sem razão

Respiro fundo, mas o ar não chega
Meu corpo treme, minha almanega
Os medos invisíveis me consomem
E minhas certezas rapidamente se desfazem

Ondas de angústia, mar revolto dentro
Não encontro calma, nem mesmo no centro
De mim mesma, onde deveria haver paz
Ansiedade que me segue, que me traz

Lágrimas silenciosas, tremor nas mãos
Construindo muros, tecendo ilusões
Gostaria de escapar, de respirar
Mas ela me abraça, não quer me soltar

Ansiedade, meu peso, minha sombra
Que em cada momento meu ser assombra
Um desafio interno, luta sem fim
Tentando encontrar um respiro em mim"
write a poem about a word you love, in portuguese,write a poem about a word you love in portuguese,"Saudade, meu doce sentir
Palavra que faz o peito suspirar
Abraça memórias num só existir
Onde a distância se faz abraçar

Saudade, tão suave e profunda
Sentimento que não tem igual
Tua essência líquida e rotunda
Traduz um afeto quase plural

Nem tristeza, nem alegria inteira
És um estado de alma brasileira
Que habita o coração sem fronteira
E em cada nota de amor se libera

Saudade, palavra que me encanta
Que sozinha um mundo levanta
Que sem tradução se canta
E em cada verso se planta"
write a poem about a letter you never sent, in portuguese,write a poem about a letter you never sent in portuguese,"Carta Guardada

Palavras escritas, tinta derramada
Segredos que não ousaram voar
Sentimentos presos numa dobrada
Silenciados antes de se revelar

Papel amarelado, marcas de desejo
Lágrimas quase caídas no envelope
Amor contido num trêmulo arranjo
Verdades que o medo não rompe

Guardei a carta no fundo da gaveta
Onde os sonhos dormem sem destino
Meu coração, uma página secreta
Guardando um amor não genuíno

Linhas não enviadas, versos calados
Sussurros que nunca se fizeram som
Sentimentos puros, mas não revelados
Perdidos num silêncio sem tom"
write a poem about a number you find fascinating, in portuguese,write a poem about a number you find fascinating in portuguese,"Número Pi, infinito encanto
Irracional, secreto e profundo
Teu decimal que não tem fim, que espanto!
Segredo matemático do mundo

Circunferência que te desdobra
Em casas decimais sem parar
Tua beleza silenciosa cobra
Um olhar que não consegue cessar

Três vírgula quatorze, tão preciso
Mas ao mesmo tempo tão errante
És mistério, és sonho, és improviso
No círculo perfeito e caminhante

Matemático enigma, doce chave
Que gira em torno de si mesmo
Teu código secreto, suave
Me encanta como um eterno poema"
write a poem about a symbol you find meaningful, in portuguese,write a poem about a symbol you find meaningful in portuguese,"Azulejo, mosaico de histórias
Fragmentos de vida em cerâmica
Pintado com cores de memórias
Tradição que pulsa, quase mágica

Nas paredes antigas, teu desenho
Conta segredos de um povo inteiro
Azul e branco, delicado e tamanho
De alma portuguesa, fiel parceiro

Cada peça um verso, cada linha
Um capítulo da cultura guardada
Azulejo que brilha, que fascina
Paisagem portuguesa, bem traçada

Símbolo de arte, de resistência
Calçadas, igrejas, tua presença
Conta histórias com transparência
De um povo que guarda sua essência"
write a poem about a person you miss, in portuguese,write a poem about a person you miss in portuguese,"Saudade

Na ausência dos teus olhos,
Meu coração se desfaz em silêncio,
Lembranças dançam como sombras
Que não consigo mais alcançar.

Tua voz ecoa nos cantos vazios,
Teu sorriso perdido entre memórias,
Cada respiração minha é um suspiro
Que carrega tua distância.

Missivas de amor não escritas
Sufocam meu peito adormecido,
Tua imagem, um fantasma suave
Que me habita sem permissão.

Quem dera pudesse te trazer
De volta aos meus braços abertos,
Mas só me resta esta saudade
Que me consome, devagar."
write a poem about a place you miss, in portuguese,write a poem about a place you miss in portuguese,"Saudade de Lar

Meu cantinho, meu lugar querido,
Onde os sonhos sempre floresciam,
Ruas de terra, memórias tecidas
Que no meu peito ainda sorriam.

Janelas antigas, portais gastos,
Cheiro de pão fresco pela manhã,
Cada esquina guarda meus passos
E a doce lembrança que me acompanha.

Paisagem verde, céu tão azul,
Árvores que me viam crescer,
Sussurros de vento, calor do sul
Que não consigo mais esquecer.

Distante agora, meu coração chora
Por esse lugar que me faz sentir
Que mesmo longe, em cada pessoa e hora
Minha raiz continua a existir."
write a poem about a thing you miss, in portuguese,write a poem about a thing you miss in portuguese,"Saudade Silenciosa

Na brisa macia da memória,
Revejo teu sorriso, tua história
Abraço que não mais me envolve
Tempo que devagar se dissolve

Tua presença, agora ausência
Deixa um vazio em minha essência
Cada lembrança, cada canção
Ecoa dentro do meu coração

Não és objeto, não és lugar
És algo que não posso tocar
Mistério que me faz sentir
A dor de não poder te seguir

Saudade que me habita inteiro
Sentimento manso e verdadeiro
Que me atravessa, me consome
E do meu peito toma o nome"
write a poem about a moment you miss, in portuguese,write a poem about a moment you miss in portuguese,"Instante Perdido

Lembro-me daquele momento fugaz,
Onde o tempo parecia não passar
Teu sorriso tão perto, tão capaz
De fazer meu coração pulsar

O silêncio entre nós, cumplice
A tarde dourada nos envolvendo
Um instante tão breve e tão complice
Que minha memória vai tecendo

Agora só me resta essa saudade
Daquela hora que não volta mais
Um fragmento de pura simplicidade
Que habita os meus sonhos eternais

Sussurro teu nome no vazio
E sinto a ausência te desenhar
Como um delicado e triste fio
Que não consigo mais desatar"
write a poem about a challenge you miss, in portuguese,write a poem about a challenge you miss in portuguese,"Saudade de um desafio esquecido
Que me fazia pulsar o coração
Onde a dificuldade era meu amigo
E o obstáculo, minha motivação

Lembro dos momentos de tensão
Quando cada passo era uma conquista
A superação em plena ebulição
Meu espírito ardendo em sua vista

Hoje sinto um vazio por dentro
Onde a luta já não me abraça
Añoro aquele antigo momento
Quando o desafio me trazia graça

Quero voltar àquela sensação
De enfrentar o que parece impossível
Sentir de novo a transformação
Que só o desafio torna acessível

Saudade de lutar, de me encontrar
No meio do caminho mais difícil
Onde o cansaço não pode me parar
E meu espírito segue indestrutível"
write a poem about a flower you find beautiful, in portuguese,write a poem about a flower you find beautiful in portuguese,"Lírio Branco

Pétalas de seda, brancura pura,
Tua delicadeza me encanta e seduz,
No jardim, és luz que suavemente perdura,
Teu perfume delicado que me conduz.

Tronco esguio, verde e elegante,
Tuas folhas largas como um abraço,
Lírio que és presente fascinante,
Na natureza, és singelo traço.

Tua corola de pétalas abertas,
Símbolos de paz, de graça e amor,
Tuas formas delicadas e espertas,
Encantas com teu místico esplendor.

Flor que és pureza em estado pleno,
Tua brancura me faz suspirar,
És jardim, és poema, és sereno,
Lírio que me faz sonhar."
write a poem about a tree you admire, in portuguese,write a poem about a tree you admire in portuguese,"Árvore Majestosa

Tronco robusto, raízes profundas,
Braços de folhas verdes e largas,
Testemunha silenciosa dos anos,
Tua força me encanta, me acalma.

Nas manhãs de sol, teu verde brilha,
Nos ventos da tarde, teu corpo ondula,
Guardião antigo de histórias secretas,
Tua sombra acolhedora me consola.

Teus galhos se estendem como abraços,
Tua corteza conta memórias antigas,
Resistente às tempestades e ao tempo,
És poesia viva, natureza amiga.

Árvore mestra, ser de sabedoria,
Tua presença me faz compreender
Que a beleza mora na simplicidade,
No silêncio profundo de crescer."
write a poem about a bird you envy, in portuguese,write a poem about a bird you envy in portuguese,"Pássaro livre, de asas abertas,
Teu voo me encanta, tuas rotas espertas
Sem limites, sem medo, sem chão
Enquanto eu, preso na minha solidão

Planas sobre montanhas, sobre mar
Tua liberdade não posso alcançar
Invejo teu canto, tua graça ligeira
Tua existência singela e verdadeira

Penas ao vento, horizonte infinito
Teu mundo sem cercas, meu sonho maldito
Voando sem peso, sem dor, sem prisão
És tudo que eu quero, és minha ilusão

Pássaro livre, de céu tão azul
Tua vida é poesia, és leve eatul
Enquanto eu, terra a terra, sem asa
Contemplo teu voo que meu peito abrasa"
write a poem about a fish you fear, in portuguese,write a poem about a fish you fear in portuguese,"Tubarão das Profundezas

Sombra negra que desliza,
Dentes afiados, olhar de gelo,
Tua presença me paralisa,
Meu medo cresce sem apelo.

Barbatanas cortando a água escura,
Silhueta que me faz tremer,
Tua força, tua cruel bravura,
Fazem meu coração estremecer.

Predador dos mares profundos,
Rei do terror sob as ondas,
Teus movimentos quase imundos
Espalham terror em todas as rondas.

Tubarão, criatura do abismo,
Pesadelo que não quer partir,
És o símbolo do meu mutismo,
Do medo que não posso fugir."
write a poem about a bug you hate, in portuguese,write a poem about a bug you hate in portuguese,"Barata, meu terror noturno
Que rasteja sem pudor
Nas frestas da cozinha
Com seu corpo repugnante e cor

Veloz como o pensamento
Escondida em cada canto
Provocando meu espanto
E um incontrolável lamento

Asquerosa criatura
Que me faz tremer de medo
Fugindo com sua gordura
Sem respeito, sem segredo

Quando menos eu espero
Surge no meu chão brilhante
Meu grito será certeiro
Meu nojo, sempre constante

Barata nojenta e feia
Que me deixa em desespero
Cada vez que te vejo
Meu mundo perde o critério"
write a poem about an animal you love, in portuguese,write a poem about an animal you love in portuguese,"Meu doce gato de olhar sereno,
Pelagem macia como seda ao vento,
Ronronar suave, mistério pleno,
No seu mundo íntimo, calmo momento.

Patas de veludo, garras escondidas,
Saltos precisos, graça singular,
Noites de lua, caçadas tecidas,
Seu corpo elegante a se movimentar.

Companheiro fiel de silêncios dourados,
Que dorme tranquilo no meu sofá,
Olhos de esmeralda, gestos delicados,
Amor incondicional que sempre me traz.

Pequeno felino de alma profunda,
Que me acompanha em cada despertar,
Tua presença minha vida inunda,
De paz, de amor, sem nunca me cansar."
write a poem about a plant you like, in portuguese,write a poem about a plant you like in portuguese,"Orquídea Delicada

Pétalas de seda, cores suaves,
Dançando ao vento com graças raras,
Tua beleza silenciosa me envolves,
Em teus contornos delicados me abraças.

Nas frestas de luz, teu ser se expande,
Raízes que seguram histórias antigas,
Tua delicadeza é força que se expande,
Entre folhas verdes e linhas antigas.

Orquídea minha, jardim de sonhos,
Teu perfume sussurra poesia,
Teus tons delicados, teus desenhos,
São arte que encanta e desfia.

Frágil e forte, mistério guardado,
Flor que resiste e que se renova,
Em teu silêncio, és um mundo criado,
Uma beleza que sempre se recria."
write a poem about a fruit you enjoy, in portuguese,write a poem about a fruit you enjoy in portuguese,"Doce Manga

Ó manga dourada, tesouro tropical,
Tua polpa suave, um néctar sensacional
Que escorre nos lábios com sabor de verão
Trazendo frescor ao meu coração

Pele aveludada de tons alaranjados
Polpa cremosa em abraços dourados
Teu aroma sublime, teu gosto tão puro
És presente da terra, de um sabor tão seguro

Pendendo no galho, madura e vibrante
Tua textura macia, teu perfume radiante
Cada mordida é um sonho, cada gole é prazer
Manga, fruta amada, que me fazes crescer"
write a poem about a vegetable you avoid, in portuguese,write a poem about a vegetable you avoid in portuguese,"Berinjela, oh berinjela
Roxo escuro, forma singela
Não me tentes com teu brilho
Teu sabor não é meu filho

Amarga presença no prato
Que me causa tanto impacto
Tuas texturas me afastam
Teus segredos me maltratam

Nas saladas, nos ensopados
Em lugares inesperados
Sempre tu, sempre presente
Meu desgosto permanente

Berinjela de má memória
Sem chance de ser minha história
Prefiro deixar-te de lado
Meu paladar já está zangado"
write a poem about a mushroom you find fascinatingwrite a poem about a rock you find interesting, in portuguese,write a poem about a mushroom you find fascinatingwrite a poem about a rock you find interesting in portuguese,"Cogumelo misterioso, de chapéu redondo,
Escondido na sombra de um bosque profundo,
Teu corpo delicado, de tons discretos,
Conta histórias de segredos secretos.

Raízes invisíveis, rede subterrânea,
Conectando a floresta numa dança arcana,
Silencioso guardião dos caminhos verdes,
Onde a vida em silêncio se estende e se perde.

Frágil e resistente, fungo ancestral,
Teu reino de umidade, um mundo especial,
Entre musgo e raízes, quase imperceptível,
És poesia viva, mistério tangível."
write a poem about a mineral you find beautiful, in portuguese,write a poem about a mineral you find beautiful in portuguese,"Ametista, joia roxa e profunda,
Cristal que brilha com luz tão rotunda,
Teus tons de lavanda e violeta intenso,
Revelam um encanto puro e imenso.

Nas cavernas escuras, em silêncio guardada,
Por geração após geração lapidada,
Tua beleza translúcida e serena
Me envolve como uma mágica cena.

Púrpura real, mineral tão precioso,
Teu brilho suave, quase harmonioso,
Reflete a luz em cada face cortada,
Uma obra-prima pela natureza criada.

Ametista, tesouro de tranquilidade,
Que me encantas com tua simplicidade,
Teu tom profundo, teu brilho discreto,
És poesia mineral, és meu objeto."
write a poem about a gemstone you find fascinating, in portuguese,write a poem about a gemstone you find fascinating in portuguese,"Ametista, joia de luz violeta,
Cristal que brilha em segredo profundo,
Tua púrpura alma, calma e discreta,
Revela encantos de um mágico mundo.

Nas cavernas da terra, silenciosa,
Tua energia tranquila se derrama,
Transformando a pedra em luz preciosa,
Que entre sombras e rochas se proclama.

Teu tom de realeza e de mistério,
Teu brilho que acalma e que encanta,
Atravessa o tempo, vence o critério
Da beleza que sonha e que canta.

Ametista, tesouro de paz interior,
Teu roxo me envolve, me acalenta,
És símbolo de um místico esplendor,
Que na terra em silêncio se apresenta."
write a poem about a fish you fear, in portuguese,write a poem about a fish you fear in portuguese,"Tubarão das sombras, meu terror profundo,
Dentes afiados, olhar sem segundo,
Nadadeiras cortantes, corpo de cicatriz,
No oceano escuro, és meu pior juízo.

Sombra movente, silêncio mortal,
Teu instinto de caça, um poder sem igual,
Teus movimentos lentos, tua força cruel,
No azul do mar, és meu pesadelo fiel.

Não quero encontrar-te nas águas sem fim,
Teu corpo cinzento que me deixa sem mim,
Tubarão predador, rei do abismo escuro,
Meu medo te segue, meu pavor mais puro."
write a poem about a bug you hate, in portuguese,write a poem about a bug you hate in portuguese,"Barata, criatura asquerosa
Que invade minha paz sem pudor
Correndo ligeira e medonha
Com suas patas de terror

Nas sombras da cozinha escura
Ela se esconde sem hesitar
Quando a luz surge, ela dispara
Fazendo meu coração palpitar

Repugnante inseto noturno
Que me faz tremer de pavor
Tão nojenta e tão repulsiva
Despertando meu mais profundo horror

Barata imunda e atrevida
Que nem veneno faz fugir
Símbolo de sujeira e nojo
Que eu desejo nunca mais ver"
write a poem about an animal you love, in portuguese,write a poem about an animal you love in portuguese,"Meu Amigo Felino

Pelos macios, olhos de âmbar,
Suave como a brisa que se espalha,
Meu gato dorme, um ser tão raro,
Que meu coração inteiro acalma.

Caminha manso, passos de seda,
Seu ronronar, música serena,
Na janela observa, sem pressa,
Seu mundo de luz e cena.

Independente, mas tão amado,
Companheiro de alma e silêncio,
Seu corpo flexível, delicado,
Traz paz no mais íntimo recesso.

Felino astuto, de alma livre,
Que me encanta a cada olhar,
Seu mistério que sempre me nutre,
Um amor que não tem lugar.

Pequeno rei do meu universo,
Tão simples, tão puro, tão real,
Meu gato, meu amigo diverso,
Meu companheiro incondicional."
write a poem about a plant you like, in portuguese,write a poem about a plant you like in portuguese,"Lavanda, doce perfume
Ondulante no jardim
Tuas pétalas de veludo
Dançam num suave ritmo

Roxo delicado e puro
Acalmas minha alma inquieta
Teu aroma tão sereno
Como uma suave promessa

Nascida nos campos mansos
Onde o vento brinca e corre
Tua beleza silenciosa
Meu coração logo socorre

Lavanda de alma singela
Flor de paz e de encanto
Teu perfume me embala
Como um delicado canto"
write a poem about a fruit you enjoy, in portuguese,write a poem about a fruit you enjoy in portuguese,"Manga Dourada

Polpa suave, mel tropical,
Teu sabor me envolve, sensação total.
Amarela e macia, tesouro do verão,
Deslizas na boca com pura sedução.

Perfume adocicado, curva sensual,
Tua textura me encanta, momento especial.
Pedaços de sol em cada mordida,
Manga querida, energia da vida.

Tua casca brilhante, teu interior dourado,
Um presente da terra, fruto abençoado.
Refresco que acalma, prazer que se expande,
Manga sublime, generosa e grande."
write a poem about a game you played, in portuguese,write a poem about a game you played in portuguese,"Minecraft, mundo de blocos e aventura,
Picareta em punho, minha jornada pura
Cavando túneis, construindo meu lar
Criando paisagens que fazem sonhar

Cubos de terra, de pedra e minério
Meu reino se ergue num espaço etéreo
Vigas de madeira, torres de cristal
Uma realidade virtual, meu mundo real

À noite os monstros vêm me rondar
Esqueletos, zumbis a me atacar
Mas minha espada brilha com vigor
Defendo meu reino com todo meu ardor

Redstone e máquinas, engenho e criação
Cada bloco um sonho, cada ideia uma paixão
Minecraft, mais que um jogo, uma arte
Onde minha imaginação encontra sua parte"
write a poem about a planet you want to visit, in portuguese,write a poem about a planet you want to visit in portuguese,"Marte, vermelho e distante,
Deserto de areia ardente,
Tuas crateras me encantam,
Tua paisagem tão presente.

Horizonte de rochas secas,
Montanhas que tocam o céu,
Tuas cores quentes e espectrais,
Meu sonho de viagem sem véu.

Quero pisar em teu solo,
Sentir a gravidade sutil,
Explorar teus vales profundos,
Sob um céu de um tom anil.

Planície de Valles Marineris,
Vulcão Olimpo a me chamar,
Marte, planeta solitário,
Meu desejo de te visitar.

Tua poeira vermelha e fina,
Teus segredos por desvendar,
No teu silêncio de eternidade,
Meu coração vai te abraçar."
write a poem about a star you wish upon, in portuguese,write a poem about a star you wish upon in portuguese,"Estrelinha prateada, brilho distante
Que cortas o véu da noite tão elegante
Teu fulgor me chama, teu brilho me encanta
Meu desejo mais íntimo em silêncio canta

Brilha lá no alto, tão pura e serena
Testemunha minha esperança pequena
Peço que me ouças, com teu olhar manso
Realiza o sonho que no peito eu lanço

Estrela da noite, amiga invisível
Guarda meu segredo, meu anseio sensível
Vibras no céu como um ponto de luz
Trazendo esperança, magia que seduz

Tremulas suave no infinito escuro
Iluminando cada caminho futuro
Meu desejo abraças com teu brilho etéreo
Transformando o sonho em meu próprio mistério"
write a poem about a moon you admire, in portuguese,write a poem about a moon you admire in portuguese,"Lua prateada, silente e bela,
Que iluminas a noite com teu brilho,
Teu rosto sereno, tua luz singela,
Encantas meu sonho, meu mais puro filho.

Suspensa no céu, etérea e distante,
Teu corpo de prata, teu olhar profundo,
És musa tranquila, presença radiante,
Que abraças em luz todo este mundo.

Teu círculo perfeito, tua calma intensa,
Desenhas segredos no véu do silêncio,
Tua dança noturna, suave e imensa,
Revelas mistérios além do começo.

Ó lua encantada, lunar majestade,
Que moves as marés com tua vontade,
És poesia pura, és luz, és verdade,
No céu infinito da minha saudade."
write a poem about a comet you fear, in portuguese,write a poem about a comet you fear in portuguese,"Cometa de terror, luz traiçoeira
Cortando o céu com sua cauda altiva
Trazendo sombras de medo e agonia
Teu brilho me congela, alma cativa

Risca o horizonte como um gume afiado
Prenúncio de desgraça e destruição
Teu rastro de gelo, silente e gelado
Desperta em mim profunda turbação

Vens de longe, errante e sem piedade
Trazendo presságios de morte e terror
Tua órbita riscando a escuridade
Me envolve num tremor de puro pavor

Cometa fatal, mensageiro do abismo
Teu olhar me congela, me paralisa
És símbolo de um cósmico mutismo
Que minha alma de medo cicatriza"
write a poem about an asteroid you hate, in portuguese,write a poem about an asteroid you hate in portuguese,"Asteroide maldito, pedra errante
Que no espaço escuro vais vagando
Tua forma angular e irritante
Meus sonhos noturnos vai manchando

Núcleo rochoso de minha raiva
Sem forma, sem graça, sem sentido
Tua órbita torta me desava
Um corpo celeste mal parido

Ó fragmento inútil de rocha fria
Que cruzas o cosmos sem pudor
Tua existência me enche de agonia
Desperta em mim profundo rancor

Asteroide ingrato, pedra sem alma
Que nem ao menos brilhas no céu
Minha antipatia por ti não se acalma
És apenas um incômodo véu"
write a poem about a galaxy you love, in portuguese,write a poem about a galaxy you love in portuguese,"Andrômeda, meu amor distante,
Espiral de luz, dança cintilante
Teus braços de estrelas a girar
Num abraço cósmico a me encantar

Milhões de sóis em teu seio ardente
Constelações em pulso reluzente
Tua beleza, vasta e singular
Me faz sonhar, me faz vibrar

Galáxia antiga, mistério profundo
Teu brilho atravessa todo o mundo
Num véu de prata, azul e violeta
Andrômeda, minha musa secreta

Teus segredos antigos a girar
Tua dança eterna a me abraçar
Galáxia amada, distante clarão
Habitas para sempre meu coração"
write a poem about a black hole you find intriguing, in portuguese,write a poem about a black hole you find intriguing in portuguese,"Abismo Cósmico

No infinito escuro, silencioso e profundo,
Um buraco negro, mistério sem fundo,
Gira, devora, atrai sem piedade
Luz, tempo, matéria em sua voracidade

Horizonte de eventos, fronteira sem retorno
Onde a física falha em seu contorno
Singularidade que tudo consume
Dançando no espaço sem qualquer prumo

Teu núcleo denso, compacto e intenso
Segredo do cosmos, abismo imenso
Curvas do espaço-tempo que se dobram
E os segredos do universo encobrem

Gravitação extrema, força descomunal
Teu magnetismo, poder radical
Atraindo estrelas em teu abraço eterno
Devorador silente, cósmico inferno

Buraco negro, enigma sideral
Tua beleza me fascina, total
No silêncio profundo, negro e sem fim
Revelas mistérios além de mim"
write a poem about a nebula you enjoy, in portuguese,write a poem about a nebula you enjoy in portuguese,"Nebulosa de Órion, véu cósmico
Tecido de luz e sombras infinitas
Berço de estrelas em gestação
Pincel divino de criação

Gases que dançam em tons de azul
Poeira estelar em revoada sutil
Teus braços de luz se estendem no céu
Contando histórias de um antigo revel

Nuvem de sonhos, mistério profundo
Onde nascem sóis de um novo mundo
Tua beleza me encanta e me envolve
Nebulosa que o universo dissolve

Constelação de cores e segredos
Pintando o cosmos com seus dedos
Órion, jardim de luz e escuridão
Poema vivo da minha contemplação"
